March 2011,"14,694"
April 2011,"15,337"
May 2011,"22,808"
June 2011,"21,577"
July 2011,"21,382"
August 2011,"20,891"
September 2011,"15,431"
October 2011,"15,085"
November 2011,"16,633"
December 2011,"10,850"
January 2012,"12,295"
February 2012,"14,039"
March 2012,"16,897"
April 2012,"15,089"
May 2012,"17,883"
June 2012,"21,409"
July 2012,"22,125"
August 2012,"18,315"
September 2012,"13,100"
October 2012,"14,608"
November 2012,"13,652"
December 2012,"9,412"
January 2013,"9,845"
February 2013,"9,827"
March 2013,"12,413"
April 2013,"15,045"
May 2013,"17,453"
June 2013,"17,084"
July 2013,"19,819"
August 2013,"15,973"
September 2013,"10,151"
October 2013,"9,088"
November 2013,"11,382"
December 2013,"6,756"
