prname,date,reporting_week,totalcases,ratecases_total,numdeaths,ratedeaths
Manitoba,2023-12-23,51,160090,11360.16,2571,182.44
Ontario,2023-12-23,51,1688275,11173.66,18121,119.93
Quebec,2023-12-23,51,1430564,16451.47,19336,222.36
Newfoundland and Labrador,2023-12-23,51,57455,10923.59,384,73.01
New Brunswick,2023-12-23,51,93753,11545.07,983,121.05
Nova Scotia,2023-12-23,51,150542,14763.0,961,94.24
Prince Edward Island,2023-12-23,51,58117,34048.67,114,66.79
Yukon,2023-12-23,51,4989,11393.27,32,73.08
Northwest Territories,2023-12-23,51,11511,25240.65,22,48.24
Nunavut,2023-12-23,51,3531,8712.93,7,17.27
Repatriated travellers,2023-12-23,51,13,,0,
Canada,2023-12-23,51,4880958,12537.81,57319,147.24
British Columbia,2023-12-30,52,413594,7775.31,6527,122.7
Alberta,2023-12-30,52,647977,14262.85,6260,137.79
Saskatchewan,2023-12-30,52,161701,13533.7,2048,171.41
Manitoba,2023-12-30,52,160230,11370.1,2571,182.44
Ontario,2023-12-30,52,1692165,11199.41,18178,120.31
Quebec,2023-12-30,52,1435424,16507.36,19422,223.35
Newfoundland and Labrador,2023-12-30,52,57542,10940.13,387,73.58
New Brunswick,2023-12-30,52,93899,11563.05,989,121.79
Nova Scotia,2023-12-30,52,150811,14789.38,961,94.24
Prince Edward Island,2023-12-30,52,58228,34113.7,114,66.79
Yukon,2023-12-30,52,4989,11393.27,32,73.08
Northwest Territories,2023-12-30,52,11511,25240.65,22,48.24
Nunavut,2023-12-30,52,3531,8712.93,7,17.27
Repatriated travellers,2023-12-30,52,13,,0,
Canada,2023-12-30,52,4891615,12565.19,57518,147.75
British Columbia,2024-01-06,1,414104,7784.9,6551,123.15
Alberta,2024-01-06,1,648571,14275.92,6280,138.23
Saskatchewan,2024-01-06,1,161951,13554.62,2048,171.41
Manitoba,2024-01-06,1,160348,11378.47,2571,182.44
Ontario,2024-01-06,1,1696336,11227.01,18240,120.72
Quebec,2024-01-06,1,1439823,16557.95,19501,224.26
Newfoundland and Labrador,2024-01-06,1,57648,10960.28,390,74.15
New Brunswick,2024-01-06,1,94041,11580.53,998,122.9
Nova Scotia,2024-01-06,1,151058,14813.6,974,95.52
Prince Edward Island,2024-01-06,1,58267,34136.55,114,66.79
Yukon,2024-01-06,1,4989,11393.27,32,73.08
Northwest Territories,2024-01-06,1,11511,25240.65,22,48.24
Nunavut,2024-01-06,1,3531,8712.93,7,17.27
Repatriated travellers,2024-01-06,1,13,,0,
Canada,2024-01-06,1,4902191,12592.35,57728,148.29
British Columbia,2024-01-13,2,414652,7795.2,6580,123.7
Alberta,2024-01-13,2,649096,14287.48,6293,138.52
Saskatchewan,2024-01-13,2,162124,13569.1,2050,171.58
Manitoba,2024-01-13,2,160450,11385.71,2571,182.44
Ontario,2024-01-13,2,1699429,11247.48,18311,121.19
Quebec,2024-01-13,2,1443050,16595.06,19571,225.07
Newfoundland and Labrador,2024-01-13,2,57768,10983.09,393,74.72
New Brunswick,2024-01-13,2,94151,11594.08,999,123.02
Nova Scotia,2024-01-13,2,151235,14830.96,982,96.3
Prince Edward Island,2024-01-13,2,58300,34155.89,114,66.79
Yukon,2024-01-13,2,4989,11393.27,32,73.08
Northwest Territories,2024-01-13,2,11511,25240.65,22,48.24
Nunavut,2024-01-13,2,3531,8712.93,7,17.27
Repatriated travellers,2024-01-13,2,13,,0,
Canada,2024-01-13,2,4910299,12613.18,57925,148.79
British Columbia,2024-01-20,3,415075,7803.15,6612,124.3
Alberta,2024-01-20,3,649538,14297.21,6303,138.74
Saskatchewan,2024-01-20,3,162305,13584.25,2052,171.74
Manitoba,2024-01-20,3,160516,11390.39,2571,182.44
Ontario,2024-01-20,3,1701789,11263.1,18361,121.52
Quebec,2024-01-20,3,1445222,16620.04,19637,225.83
Newfoundland and Labrador,2024-01-20,3,57832,10995.26,395,75.1
New Brunswick,2024-01-20,3,94244,11605.53,1002,123.39
Nova Scotia,2024-01-20,3,151398,14846.94,988,96.89
Prince Edward Island,2024-01-20,3,58318,34166.43,114,66.79
Yukon,2024-01-20,3,4989,11393.27,32,73.08
Northwest Territories,2024-01-20,3,11511,25240.65,22,48.24
Nunavut,2024-01-20,3,3531,8712.93,7,17.27
Repatriated travellers,2024-01-20,3,13,,0,
Canada,2024-01-20,3,4916281,12628.55,58096,149.23
British Columbia,2024-01-27,4,415578,7812.61,6641,124.85
Alberta,2024-01-27,4,649945,14306.17,6307,138.83
Saskatchewan,2024-01-27,4,162439,13595.46,2053,171.83
Manitoba,2024-01-27,4,160591,11395.71,2571,182.44
Ontario,2024-01-27,4,1703762,11276.16,18396,121.75
Quebec,2024-01-27,4,1446939,16639.79,19678,226.3
Newfoundland and Labrador,2024-01-27,4,57877,11003.82,397,75.48
New Brunswick,2024-01-27,4,94335,11616.74,1006,123.88
Nova Scotia,2024-01-27,4,151561,14862.93,991,97.18
Prince Edward Island,2024-01-27,4,58331,34174.05,114,66.79
Yukon,2024-01-27,4,4989,11393.27,32,73.08
Northwest Territories,2024-01-27,4,11511,25240.65,22,48.24
Nunavut,2024-01-27,4,3531,8712.93,7,17.27
Repatriated travellers,2024-01-27,4,13,,0,
Canada,2024-01-27,4,4921402,12641.7,58215,149.54
British Columbia,2024-02-03,5,416019,7820.9,6669,125.37
Alberta,2024-02-03,5,650397,14316.12,6308,138.85
Saskatchewan,2024-02-03,5,162591,13608.18,2054,171.91
Manitoba,2024-02-03,5,160674,11401.6,2571,182.44
Ontario,2024-02-03,5,1705480,11287.53,18421,121.92
Quebec,2024-02-03,5,1448423,16656.85,19721,226.79
Newfoundland and Labrador,2024-02-03,5,57940,11015.8,398,75.67
New Brunswick,2024-02-03,5,94433,11628.81,1008,124.13
Nova Scotia,2024-02-03,5,151690,14875.58,998,97.87
Prince Edward Island,2024-02-03,5,58348,34184.01,114,66.79
Yukon,2024-02-03,5,4989,11393.27,32,73.08
Northwest Territories,2024-02-03,5,11511,25240.65,22,48.24
Nunavut,2024-02-03,5,3531,8712.93,7,17.27
Repatriated travellers,2024-02-03,5,13,,0,
Canada,2024-02-03,5,4926039,12653.61,58323,149.82
British Columbia,2024-02-10,6,416413,7828.31,6691,125.79
Alberta,2024-02-10,6,650821,14325.45,6311,138.91
Saskatchewan,2024-02-10,6,162743,13620.91,2054,171.91
Manitoba,2024-02-10,6,160776,11408.84,2571,182.44
Ontario,2024-02-10,6,1706818,11296.39,18437,122.02
Quebec,2024-02-10,6,1449641,16670.86,19758,227.22
Newfoundland and Labrador,2024-02-10,6,57996,11026.44,400,76.05
New Brunswick,2024-02-10,6,94521,11639.64,1010,124.37
Nova Scotia,2024-02-10,6,151764,14882.84,1006,98.65
Prince Edward Island,2024-02-10,6,58381,34203.34,118,69.13
Yukon,2024-02-10,6,4989,11393.27,32,73.08
Northwest Territories,2024-02-10,6,11511,25240.65,22,48.24
Nunavut,2024-02-10,6,3531,8712.93,7,17.27
Repatriated travellers,2024-02-10,6,13,,0,
Canada,2024-02-10,6,4929918,12663.58,58417,150.06
British Columbia,2024-02-17,7,416809,7835.75,6705,126.05
Alberta,2024-02-17,7,651204,14333.88,6313,138.96
Saskatchewan,2024-02-17,7,162743,13620.91,2054,171.91
Manitoba,2024-02-17,7,160875,11415.87,2571,182.44
Ontario,2024-02-17,7,1707978,11304.06,18450,122.11
Quebec,2024-02-17,7,1450791,16684.08,19777,227.44
Newfoundland and Labrador,2024-02-17,7,58040,11034.81,400,76.05
New Brunswick,2024-02-17,7,94521,11639.64,1010,124.37
Nova Scotia,2024-02-17,7,151889,14895.09,1015,99.54
Prince Edward Island,2024-02-17,7,58417,34224.43,119,69.72
Yukon,2024-02-17,7,4989,11393.27,32,73.08
Northwest Territories,2024-02-17,7,11511,25240.65,22,48.24
Nunavut,2024-02-17,7,3531,8712.93,7,17.27
Repatriated travellers,2024-02-17,7,13,,0,
Canada,2024-02-17,7,4933311,12672.29,58475,150.21
